gene,CNV
NPHP4,LOH
KCNAB2,LOH
CHD5,LOH
RNF207,LOH
ICMT,LOH
HES3,LOH
GPR153,LOH
ACOT7,LOH
ESPN,LOH
PLEKHG5,LOH
NOL9,LOH
ZBTB48,LOH
KLHL21,LOH
PHF13,LOH
THAP3,LOH
DNAJC11,LOH
CAMTA1,LOH
VAMP3,LOH
PER3,LOH
TNFRSF9,LOH
RERE,LOH
ENO1,LOH
CA6,LOH
SLC2A7,LOH
H6PD,LOH
SPSB1,LOH
SPSB1,LOSS
SLC25A33,GAIN
TMEM201,GAIN
PIK3CD,GAIN
CLSTN1,GAIN
NMNAT1,GAIN
RBP7,GAIN
UBE4B,GAIN
KIF1B,GAIN
PGD,GAIN
PEX14,GAIN
CASZ1,GAIN
C1orf127,GAIN
TARDBP,GAIN
MASP2,GAIN
SRM,GAIN
EXOSC10,GAIN
MTOR,GAIN
FBXO2,GAIN
FBXO44,GAIN
FBXO6,GAIN
MAD2L2,GAIN
AGTRAP,GAIN
MTHFR,GAIN
CLCN6,GAIN
NPPA,GAIN
NPPB,GAIN
KIAA2013,GAIN
PLOD1,GAIN
MFN2,GAIN
MIIP,GAIN
TNFRSF8,GAIN
TNFRSF1B,GAIN
VPS13D,GAIN
DHRS3,GAIN
AADACL4,GAIN
AADACL3,GAIN
PRAMEF12,GAIN
PRAMEF1,GAIN
PRAMEF11,GAIN
HNRNPCL1,GAIN
PRAMEF2,GAIN
PRAMEF4,GAIN
PRAMEF8,GAIN
HNRNPCL2,GAIN
PDPN,GAIN
PRDM2,GAIN
KAZN,GAIN
TMEM51,GAIN
FHAD1,GAIN
EFHD2,GAIN
CTRC,GAIN
CELA2A,GAIN
CELA2B,GAIN
CASP9,GAIN
AGMAT,GAIN
PLEKHM2,GAIN
UQCRHL,GAIN
FLJ37453,GAIN
SPEN,GAIN
ZBTB17,GAIN
CLCNKB,GAIN
FAM131C,GAIN
EPHA2,GAIN
ARHGEF19,GAIN
RSG1,GAIN
FBXO42,GAIN
SZRD1,GAIN
SPATA21,GAIN
NECAP2,GAIN
CROCCP3,GAIN
CROCC,GAIN
MFAP2,GAIN
ATP13A2,GAIN
SDHB,GAIN
PADI2,GAIN
PADI1,GAIN
PADI3,GAIN
PADI4,GAIN
PADI6,GAIN
RCC2,GAIN
ACTL8,GAIN
IGSF21,GAIN
KLHDC7A,GAIN
PAX7,GAIN
TAS1R2,GAIN
UBR4,GAIN
EMC1,GAIN
EMC1,GAIN
MRTO4,GAIN
AKR7L,GAIN
AKR7A2,GAIN
PQLC2,GAIN
CAPZB,GAIN
MINOS1-NBL1,GAIN
HTR6,GAIN
TMCO4,GAIN
RNF186,GAIN
OTUD3,GAIN
PLA2G2A,GAIN
PLA2G2D,GAIN
PLA2G2F,GAIN
UBXN10,GAIN
VWA5B1,GAIN
CAMK2N1,GAIN
MUL1,GAIN
FAM43B,GAIN
CDA,GAIN
PINK1,GAIN
DDOST,GAIN
KIF17,GAIN
SH2D5,GAIN
HP1BP3,GAIN
EIF4G3,GAIN
ECE1,GAIN
NBPF3,GAIN
ALPL,GAIN
RAP1GAP,GAIN
USP48,GAIN
LDLRAD2,GAIN
HSPG2,GAIN
CELA3B,GAIN
CELA3A,GAIN
CDC42,GAIN
WNT4,GAIN
ZBTB40,GAIN
EPHA8,GAIN
C1QC,GAIN
EPHB2,GAIN
LACTBL1,GAIN
KDM1A,GAIN
HTR1D,GAIN
HNRNPR,GAIN
ZNF436,GAIN
TCEA3,GAIN
ASAP3,GAIN
E2F2,GAIN
ID3,GAIN
RPL11,GAIN
PITHD1,GAIN
GALE,GAIN
FUCA1,GAIN
PNRC2,GAIN
SRSF10,GAIN
MYOM3,GAIN
IL22RA1,GAIN
IFNLR1,GAIN
GRHL3,GAIN
NIPAL3,GAIN
RCAN3,GAIN
NCMAP,GAIN
SRRM1,GAIN
CLIC4,GAIN
RUNX3,GAIN
SYF2,GAIN
TMEM50A,GAIN
LDLRAP1,GAIN
MAN1C1,GAIN
MTFR1L,GAIN
AUNIP,GAIN
PAQR7,GAIN
STMN1,GAIN
PAFAH2,GAIN
EXTL1,GAIN
TRIM63,GAIN
PDIK1L,GAIN
FAM110D,GAIN
CNKSR1,GAIN
CEP85,GAIN
SH3BGRL3,GAIN
UBXN11,GAIN
CD52,GAIN
ZNF683,GAIN
LIN28A,GAIN
DHDDS,GAIN
HMGN2,GAIN
RPS6KA1,GAIN
ARID1A,GAIN
PIGV,GAIN
SFN,GAIN
GPN2,GAIN
GPATCH3,GAIN
NUDC,GAIN
KDF1,GAIN
TRNP1,GAIN
FAM46B,GAIN
SLC9A1,GAIN
WDTC1,GAIN
TMEM222,GAIN
SYTL1,GAIN
MAP3K6,GAIN
FCN3,GAIN
