log2,depth
0.164838,57.3136
0.164838,63.4921
0.164838,123.58
0.164838,143.635
0.164838,52.8933
0.164838,117.621
0.164838,13.4776
0.164838,44.5198
0.164838,11.2234
0.164838,39.9507
0.164838,60.9762
0.164838,88.1324
0.164838,64.3286
0.164838,49.0268
0.164838,58.3913
0.164838,65.9189
0.164838,81.5
0.164838,50.9384
0.164838,25.9167
0.164838,80.2841
0.164838,29.1186
0.164838,79.898
0.164838,70.5722
0.164838,105.274
0.164838,52.8684
0.164838,31.98
-26.1891,0
0.388766,6.47581
0.388766,67.3713
0.388766,80.2174
0.388766,66.3043
0.388766,73.907
0.388766,143.815
0.388766,62.5494
0.388766,8.89256
0.388766,140.046
0.388766,132.488
0.388766,75.6802
0.388766,91.3647
0.388766,73.525
0.388766,44.1203
0.388766,74.1531
0.388766,78.0719
0.388766,205.364
0.388766,85.2637
0.388766,7.72727
0.388766,70.9903
0.388766,79.7454
0.388766,176.344
0.388766,61.2169
0.388766,223.739
0.388766,40.5
0.388766,181.922
0.388766,183.193
0.388766,72.0152
0.388766,124
0.388766,113.36
0.388766,45.4771
0.388766,43.9493
0.388766,6.06481
0.388766,74.2037
0.388766,262.713
0.388766,148.447
0.388766,123.302
0.388766,53.701
0.388766,193.366
0.388766,192.624
0.388766,101.175
0.388766,249.163
0.388766,67.0876
0.388766,173.767
0.388766,136.027
0.388766,6.86547
0.388766,72.4467
0.388766,23.8864
0.388766,33.9829
0.388766,56.4115
0.388766,6.91667
0.388766,262.488
0.388766,308.708
0.388766,36.6136
0.388766,121.709
0.388766,163.974
0.388766,198.727
0.388766,41.5403
0.388766,168.979
0.388766,87.9472
0.388766,15.5417
0.388766,49.445
0.388766,46.7195
0.388766,30.4513
0.388766,105.63
0.388766,90.165
0.388766,68.787
0.388766,54.7246
0.388766,143.529
0.388766,76.3714
0.388766,46.6522
0.388766,82.7273
0.388766,177.231
0.388766,154.435
0.388766,45.6721
0.388766,87.0833
0.388766,97.3918
0.388766,147.714
0.388766,61.9536
0.388766,73.2314
0.388766,19.3252
0.388766,22.9194
0.388766,89.9478
0.388766,24.5882
0.388766,49.249
0.388766,46.1639
0.388766,198.203
0.388766,216.113
0.388766,113.762
0.388766,42.8105
0.388766,88.6584
0.388766,45.5278
0.388766,99.6235
0.388766,81.5038
0.388766,36.8897
0.388766,160.878
0.388766,42.0982
0.388766,55.6832
0.388766,92.498
0.388766,62.5797
0.388766,82.5322
0.388766,77.675
0.388766,16.1732
0.388766,36.6858
0.388766,73.8889
0.388766,66.1893
0.388766,29.3121
0.388766,46.3417
0.388766,86.4106
0.388766,39.8217
0.388766,222.133
0.388766,109.612
0.388766,31.4677
0.388766,179.62
0.388766,48.6569
0.388766,46.0423
0.388766,184.192
0.388766,52.505
0.388766,30.9417
0.388766,80.9958
0.388766,85.9787
0.388766,99.7225
0.388766,65.7216
0.388766,41.4475
0.388766,40.6907
0.388766,118.486
0.388766,3.00806
0.388766,232.834
0.388766,179.073
0.388766,51.5695
0.388766,218.132
0.388766,33.1765
0.388766,23.8563
0.388766,44.9349
0.388766,46.4317
0.388766,166.262
0.388766,51.1401
0.388766,76.71
0.388766,22.2206
0.388766,193.151
0.388766,63.8538
0.388766,283.54
0.388766,87.9059
0.388766,46.3484
0.388766,189.489
0.388766,126.08
0.388766,59.3618
0.388766,24.8492
0.388766,16.065
0.388766,73.0961
0.388766,23.5676
0.388766,264.794
0.388766,15.8917
0.388766,111.114
0.388766,79.8073
0.388766,59.1558
0.388766,73.1635
0.388766,90.3808
0.388766,88.0654
0.388766,119.444
0.388766,371.952
0.388766,70.7935
0.388766,59.0075
0.388766,84.1092
0.388766,38.716
0.388766,103.289
0.388766,120.944
0.388766,93.8172
0.388766,232.218
0.388766,87.5944
0.388766,173.404
0.388766,184.446
0.388766,56.1463
0.388766,92.441
0.388766,34.1081
0.388766,18.3116
0.388766,84.6858
0.388766,92.6955
0.388766,39.6653
0.388766,67.5216
0.388766,40.125
0.388766,43.3633
0.388766,55.7443
0.388766,93.7634
0.388766,76.9964
0.388766,31.4333
0.388766,199.551
0.388766,66.6809
0.388766,72.608
0.388766,57.2582
0.388766,98.2206
0.388766,38.9708
0.388766,110.262
0.388766,89.3966
0.388766,101.289
0.388766,42.867
0.388766,188.859
0.388766,49.7266
0.388766,81.9082
0.388766,145.762
0.388766,56.2542
0.388766,57.4049
0.388766,44.1594
0.388766,91.0391
0.388766,110.939
0.388766,27.4211
0.388766,171.514
0.388766,58.4639
0.388766,122.313
0.388766,120.451
0.388766,114.713
0.388766,6.61157
0.388766,59.5445
0.388766,138.898
0.388766,243.254
0.388766,71.8149
0.388766,159.341
0.388766,78.7729
0.388766,36.6266
