gene,log2
NPHP4,0.320033
KCNAB2,0.32003
CHD5,0.32003
RNF207,0.32003
ICMT,0.32003
HES3,0.32003
GPR153,0.32003
ACOT7,0.32003
ESPN,0.32003
PLEKHG5,0.32003
NOL9,0.32003
ZBTB48,0.32003
KLHL21,0.32003
PHF13,0.32003
THAP3,0.32003
DNAJC11,0.32003
CAMTA1,0.32003
VAMP3,0.32003
PER3,0.32003
TNFRSF9,0.32003
RERE,0.32003
ENO1,0.32003
CA6,0.32003
SLC2A7,0.32003
H6PD,0.32003
SPSB1,0.32003
SPSB1,-25.5198
SLC25A33,0.61732
TMEM201,0.61732
PIK3CD,0.61732
CLSTN1,0.61732
NMNAT1,0.61732
RBP7,0.61732
UBE4B,0.61732
KIF1B,0.61732
PGD,0.61732
PEX14,0.61732
CASZ1,0.61732
C1orf127,0.61732
TARDBP,0.61732
MASP2,0.61732
SRM,0.61732
EXOSC10,0.61732
MTOR,0.61732
FBXO2,0.61732
FBXO44,0.61732
FBXO6,0.61732
MAD2L2,0.61732
AGTRAP,0.61732
MTHFR,0.61732
CLCN6,0.61732
NPPA,0.61732
NPPB,0.61732
KIAA2013,0.61732
PLOD1,0.61732
MFN2,0.61732
MIIP,0.61732
TNFRSF8,0.61732
TNFRSF1B,0.61732
VPS13D,0.61732
DHRS3,0.61732
AADACL4,0.61732
AADACL3,0.61732
PRAMEF12,0.61732
PRAMEF1,0.61732
PRAMEF11,0.61732
HNRNPCL1,0.61732
PRAMEF2,0.61732
PRAMEF4,0.61732
PRAMEF8,0.61732
HNRNPCL2,0.61732
PDPN,0.61732
PRDM2,0.61732
KAZN,0.61732
TMEM51,0.61732
FHAD1,0.61732
EFHD2,0.61732
CTRC,0.61732
CELA2A,0.61732
CELA2B,0.61732
CASP9,0.61732
AGMAT,0.61732
PLEKHM2,0.61732
UQCRHL,0.61732
FLJ37453,0.61732
SPEN,0.61732
ZBTB17,0.61732
CLCNKB,0.61732
FAM131C,0.61732
EPHA2,0.61732
ARHGEF19,0.61732
RSG1,0.61732
FBXO42,0.61732
SZRD1,0.61732
SPATA21,0.61732
NECAP2,0.61732
CROCCP3,0.61732
CROCC,0.61732
MFAP2,0.61732
ATP13A2,0.61732
SDHB,0.61732
PADI2,0.61732
PADI1,0.61732
PADI3,0.61732
PADI4,0.61732
PADI6,0.61732
RCC2,0.61732
ACTL8,0.61732
IGSF21,0.61732
KLHDC7A,0.61732
PAX7,0.61732
TAS1R2,0.61732
UBR4,0.61732
EMC1,0.61732
EMC1,0.55864
MRTO4,0.55864
AKR7L,0.55864
AKR7A2,0.55864
PQLC2,0.55864
CAPZB,0.55864
MINOS1-NBL1,0.55864
HTR6,0.55864
TMCO4,0.55864
RNF186,0.55864
OTUD3,0.55864
PLA2G2A,0.55864
PLA2G2D,0.55864
